alpha,tau,strategy,n_patients,accuracy,mean_steps,pct_early_stop
1.0,1.9,random,328,0.5823170731707317,1.0030487804878048,1.0
1.0,0.1,bfs,328,0.5762195121951219,1.8445121951219512,0.7164634146341463
1.0,0.2,bfs,328,0.5762195121951219,1.795731707317073,0.7378048780487805
1.0,0.3,bfs,328,0.5701219512195121,1.725609756097561,0.7621951219512195
1.0,0.4,bfs,328,0.5701219512195121,1.6676829268292683,0.7804878048780488
1.0,0.5,bfs,328,0.5701219512195121,1.6402439024390243,0.7926829268292683
1.0,0.6,bfs,328,0.5701219512195121,1.6280487804878048,0.7987804878048781
1.0,0.7,bfs,328,0.5670731707317073,1.5853658536585367,0.823170731707317
1.0,0.7999999999999999,bfs,328,0.5670731707317073,1.5701219512195121,0.8353658536585366
1.0,0.8999999999999999,bfs,328,0.5670731707317073,1.5335365853658536,0.8567073170731707
1.0,0.9999999999999999,bfs,328,0.5640243902439024,1.4451219512195121,0.9146341463414634
1.0,1.0999999999999999,bfs,328,0.5640243902439024,1.3841463414634145,0.9176829268292683
1.0,1.2,bfs,328,0.5609756097560976,1.375,0.9176829268292683
1.0,1.3,bfs,328,0.5609756097560976,1.3567073170731707,0.926829268292683
1.0,1.4,bfs,328,0.5609756097560976,1.3231707317073171,0.9359756097560976
1.0,1.5,bfs,328,0.5609756097560976,1.2896341463414633,0.9451219512195121
1.0,1.5999999999999999,bfs,328,0.5609756097560976,1.1128048780487805,0.9634146341463414
1.0,1.7,bfs,328,0.5609756097560976,1.0884146341463414,0.9695121951219512
1.0,1.8,bfs,328,0.5579268292682927,1.0396341463414633,0.9908536585365854
1.0,1.9,bfs,328,0.5579268292682927,1.0060975609756098,1.0
1.0,0.1,ig,328,0.5823170731707317,1.9359756097560976,0.7134146341463414
1.0,0.2,ig,328,0.5792682926829268,1.8902439024390243,0.7317073170731707
1.0,0.3,ig,328,0.5792682926829268,1.728658536585366,0.7591463414634146
1.0,0.4,ig,328,0.5792682926829268,1.6646341463414633,0.7804878048780488
1.0,0.5,ig,328,0.5792682926829268,1.6432926829268293,0.7926829268292683
1.0,0.6,ig,328,0.5792682926829268,1.6280487804878048,0.7987804878048781
1.0,0.7,ig,328,0.5762195121951219,1.5945121951219512,0.823170731707317
1.0,0.7999999999999999,ig,328,0.5762195121951219,1.579268292682927,0.8353658536585366
1.0,0.8999999999999999,ig,328,0.573170731707317,1.545731707317073,0.8597560975609756
1.0,0.9999999999999999,ig,328,0.5670731707317073,1.4573170731707317,0.9146341463414634
1.0,1.0999999999999999,ig,328,0.5701219512195121,1.3689024390243902,0.9207317073170732
1.0,1.2,ig,328,0.5701219512195121,1.3658536585365855,0.9207317073170732
1.0,1.3,ig,328,0.5701219512195121,1.3475609756097562,0.9298780487804879
1.0,1.4,ig,328,0.5701219512195121,1.3170731707317074,0.9359756097560976
1.0,1.5,ig,328,0.573170731707317,1.2896341463414633,0.9451219512195121
1.0,1.5999999999999999,ig,328,0.573170731707317,1.1128048780487805,0.9634146341463414
1.0,1.7,ig,328,0.573170731707317,1.0884146341463414,0.9695121951219512
1.0,1.8,ig,328,0.5701219512195121,1.0426829268292683,0.9908536585365854
1.0,1.9,ig,328,0.5701219512195121,1.0091463414634145,1.0
