alpha,tau,strategy,n_patients,accuracy,mean_stop_tests,pct_early_stop
1.0,0.1,actual,300,0.81,3.0166666666666666,0.18333333333333332
1.0,0.2,actual,300,0.8133333333333334,2.9233333333333333,0.23
1.0,0.3,actual,300,0.8033333333333333,2.8033333333333332,0.29
1.0,0.4,actual,300,0.8033333333333333,2.69,0.35
1.0,0.5,actual,300,0.7866666666666666,2.57,0.4166666666666667
1.0,0.6,actual,300,0.7833333333333333,2.433333333333333,0.4766666666666667
1.0,0.7,actual,300,0.7666666666666667,2.3,0.5366666666666666
1.0,0.7999999999999999,actual,300,0.74,2.15,0.6
1.0,0.8999999999999999,actual,300,0.7166666666666667,2.013333333333333,0.6566666666666666
1.0,0.9999999999999999,actual,300,0.7,1.89,0.71
1.0,1.0999999999999999,actual,300,0.6966666666666667,1.7866666666666666,0.7433333333333333
1.0,1.2,actual,300,0.69,1.67,0.78
1.0,1.3,actual,300,0.69,1.5566666666666666,0.84
1.0,1.4,actual,300,0.6833333333333333,1.4633333333333334,0.8733333333333333
1.0,1.5,actual,300,0.6566666666666666,1.3733333333333333,0.9033333333333333
1.0,1.5999999999999999,actual,300,0.6566666666666666,1.2766666666666666,0.9266666666666666
1.0,1.7,actual,300,0.6333333333333333,1.18,0.98
1.0,1.8,actual,300,0.64,1.0933333333333333,0.9866666666666667
1.0,1.9,actual,300,0.6533333333333333,1.0266666666666666,0.9966666666666667
1.0,0.1,actual_real,300,0.82,3.19,0.05333333333333334
1.0,0.2,actual_real,300,0.82,3.0966666666666667,0.12333333333333334
1.0,0.3,actual_real,300,0.82,2.933333333333333,0.21333333333333335
1.0,0.4,actual_real,300,0.82,2.82,0.2733333333333333
1.0,0.5,actual_real,300,0.82,2.6733333333333333,0.3466666666666667
1.0,0.6,actual_real,300,0.82,2.5233333333333334,0.4066666666666667
1.0,0.7,actual_real,300,0.82,2.4266666666666667,0.44666666666666666
1.0,0.7999999999999999,actual_real,300,0.8166666666666667,2.263333333333333,0.5366666666666666
1.0,0.8999999999999999,actual_real,300,0.8166666666666667,2.11,0.5833333333333334
1.0,0.9999999999999999,actual_real,300,0.8166666666666667,2.013333333333333,0.62
1.0,1.0999999999999999,actual_real,300,0.81,1.9,0.6566666666666666
1.0,1.2,actual_real,300,0.8033333333333333,1.7733333333333334,0.7066666666666667
1.0,1.3,actual_real,300,0.7966666666666666,1.6233333333333333,0.78
1.0,1.4,actual_real,300,0.7866666666666666,1.53,0.8233333333333334
1.0,1.5,actual_real,300,0.7866666666666666,1.4133333333333333,0.8766666666666667
1.0,1.5999999999999999,actual_real,300,0.7966666666666666,1.3133333333333332,0.9066666666666666
1.0,1.7,actual_real,300,0.8,1.2366666666666666,0.9366666666666666
1.0,1.8,actual_real,300,0.7933333333333333,1.1033333333333333,0.9766666666666667
1.0,1.9,actual_real,300,0.79,1.04,0.9866666666666667
1.0,0.1,random,300,0.82,3.216666666666667,0.043333333333333335
1.0,0.2,random,300,0.7933333333333333,3.1866666666666665,0.08
1.0,0.3,random,300,0.7633333333333333,3.11,0.13666666666666666
1.0,0.4,random,300,0.7633333333333333,3.0433333333333334,0.18
1.0,0.5,random,300,0.7433333333333333,2.95,0.24666666666666667
1.0,0.6,random,300,0.7366666666666667,2.77,0.33
1.0,0.7,random,300,0.7033333333333334,2.62,0.4066666666666667
1.0,0.7999999999999999,random,300,0.6666666666666666,2.48,0.4766666666666667
1.0,0.8999999999999999,random,300,0.64,2.29,0.5333333333333333
1.0,0.9999999999999999,random,300,0.61,2.1866666666666665,0.58
1.0,1.0999999999999999,random,300,0.59,2.033333333333333,0.64
1.0,1.2,random,300,0.56,1.9066666666666667,0.7133333333333334
1.0,1.3,random,300,0.52,1.7533333333333334,0.7766666666666666
1.0,1.4,random,300,0.5,1.6766666666666667,0.7933333333333333
1.0,1.5,random,300,0.4766666666666667,1.5533333333333332,0.8266666666666667
1.0,1.5999999999999999,random,300,0.4633333333333333,1.43,0.8633333333333333
1.0,1.7,random,300,0.43,1.35,0.8966666666666666
1.0,1.8,random,300,0.4166666666666667,1.2,0.9466666666666667
1.0,1.9,random,300,0.3933333333333333,1.0833333333333333,0.98
1.0,0.1,bfs,300,0.8166666666666667,2.9233333333333333,0.25333333333333335
1.0,0.2,bfs,300,0.7933333333333333,2.8233333333333333,0.31333333333333335
1.0,0.3,bfs,300,0.7666666666666667,2.6933333333333334,0.38
1.0,0.4,bfs,300,0.7633333333333333,2.56,0.4266666666666667
1.0,0.5,bfs,300,0.76,2.43,0.48333333333333334
1.0,0.6,bfs,300,0.7666666666666667,2.296666666666667,0.53
1.0,0.7,bfs,300,0.7566666666666667,2.1866666666666665,0.5833333333333334
1.0,0.7999999999999999,bfs,300,0.7033333333333334,2.0233333333333334,0.6533333333333333
1.0,0.8999999999999999,bfs,300,0.6733333333333333,1.8833333333333333,0.7233333333333334
1.0,0.9999999999999999,bfs,300,0.6466666666666666,1.7566666666666666,0.7633333333333333
1.0,1.0999999999999999,bfs,300,0.6433333333333333,1.6533333333333333,0.8
1.0,1.2,bfs,300,0.6366666666666667,1.5366666666666666,0.83
1.0,1.3,bfs,300,0.6233333333333333,1.46,0.8666666666666667
1.0,1.4,bfs,300,0.61,1.3133333333333332,0.9066666666666666
1.0,1.5,bfs,300,0.5933333333333334,1.25,0.93
1.0,1.5999999999999999,bfs,300,0.5766666666666667,1.1533333333333333,0.9666666666666667
1.0,1.7,bfs,300,0.5666666666666667,1.0766666666666667,0.99
1.0,1.8,bfs,300,0.57,1.0333333333333334,0.9966666666666667
1.0,1.9,bfs,300,0.5633333333333334,1.0033333333333334,1.0
1.0,0.1,ig,300,0.8133333333333334,2.8866666666666667,0.26666666666666666
1.0,0.2,ig,300,0.7966666666666666,2.7533333333333334,0.33
1.0,0.3,ig,300,0.77,2.6,0.39666666666666667
1.0,0.4,ig,300,0.7633333333333333,2.466666666666667,0.44333333333333336
1.0,0.5,ig,300,0.7566666666666667,2.3633333333333333,0.4866666666666667
1.0,0.6,ig,300,0.7566666666666667,2.24,0.54
1.0,0.7,ig,300,0.7366666666666667,2.1433333333333335,0.59
1.0,0.7999999999999999,ig,300,0.68,1.9833333333333334,0.66
1.0,0.8999999999999999,ig,300,0.65,1.8466666666666667,0.7233333333333334
1.0,0.9999999999999999,ig,300,0.6366666666666667,1.7033333333333334,0.77
1.0,1.0999999999999999,ig,300,0.6366666666666667,1.6166666666666667,0.8033333333333333
1.0,1.2,ig,300,0.6266666666666667,1.49,0.84
1.0,1.3,ig,300,0.6133333333333333,1.41,0.8766666666666667
1.0,1.4,ig,300,0.6133333333333333,1.2766666666666666,0.9133333333333333
1.0,1.5,ig,300,0.59,1.22,0.94
1.0,1.5999999999999999,ig,300,0.5733333333333334,1.11,0.9766666666666667
1.0,1.7,ig,300,0.5666666666666667,1.0366666666666666,0.9933333333333333
1.0,1.8,ig,300,0.5566666666666666,1.0033333333333334,1.0
1.0,1.9,ig,300,0.5566666666666666,1.0,1.0
